language,uni_lemma,lexical_category,category,freq,concreteness,measure,intercept,slope,aoa
Cantonese,chicken (animal),nouns,animals,0.07599226636196271,0.685067637408684,produces,-6.421028569570217,0.29981373686350965,21.416725720254085
Cantonese,chicken (food),nouns,food_drink,0.21884588824746107,0.685067637408684,produces,-7.3082705334612905,0.2999334761963257,24.366304909151115
Cantonese,chin,nouns,body_parts,-1.6571923740779027,0.7757633479319289,produces,-8.821834087498576,0.29993646783892025,29.412342390576892
Cantonese,chips,nouns,food_drink,-0.9109479398435135,0.785840649101179,produces,-8.428365275953803,0.29985307888224205,28.108316604158603
Cantonese,chocolate,nouns,food_drink,0.10690841264767624,0.6044492280546885,produces,-7.51852394441857,0.3002145971419253,25.04383203213872
Cantonese,chopstick,nouns,household,-0.6516037520188159,0.8160725526089267,produces,-7.266764039915564,0.3001594328072046,24.20968074184455
Cantonese,clock,nouns,household,0.021867120342198666,0.8866136607936731,produces,-7.845019943469089,0.2998250166329203,26.16532813562335
Cantonese,closet,nouns,furniture_rooms,-0.4786094608719915,0.7152995409164327,produces,-8.05163728129122,0.30004958646074975,26.834355535245752
Cantonese,cloth,nouns,household,-0.6419408694057689,0.785840649101179,produces,-9.0248386971756709,0.2998836117647158,30.09447113187507
Cantonese,clothes,nouns,clothing,0.6991301978270278,0.6447584327316863,produces,-6.138387725750878,0.30020443204672564,20.447358767826124
Cantonese,cloud,nouns,outside,0.00811667003701239,0.4230578070081989,produces,-8.581044409004603,0.29997537783664824,28.605829154676208
Cantonese,coat,nouns,clothing,-1.174662379530017,0.8563817572859245,produces,-8.327072852625864,0.29997905195617375,27.758847820621924
Cantonese,cockroach,nouns,animals,0.0025143584023811553,0.8463044561166753,produces,-8.240212088897572,0.29996786405681475,27.47031624473231
Cantonese,coke,nouns,food_drink,-0.6614472596814926,0.7152995409164327,produces,-7.244514312508602,0.29961552637039407,24.17936880731844
Cantonese,comb (object),nouns,household,0.6537179534161626,0.8866136607936731,produces,-6.664807840089256,0.3000118800018253,22.215146413697703
Cantonese,computer,nouns,furniture_rooms,-0.47163436119112856,0.8160725526089267,produces,-8.327471685491169,0.3000469875724335,27.75389199160301
Cantonese,corn,nouns,food_drink,-0.7966390956246969,0.8463044561166753,produces,-7.494651074805872,0.3000164810772561,24.980797881153578
Cantonese,couch,nouns,furniture_rooms,-0.2817302980979183,0.5943719268854393,produces,-7.687890286733864,0.30011721281459813,25.61629242999525
Cantonese,cow,nouns,animals,0.03261468372395607,0.8463044561166753,produces,-7.366099652856561,0.2997944616504739,24.570499442530036
Cantonese,crab,nouns,food_drink,-0.34860990078176735,0.785840649101179,produces,-8.411271655017051,0.299815365273376,28.054838508184968
Cantonese,crayon,nouns,toys,-0.8366542109197933,0.7556087455934305,produces,-9.26074787251703,0.30014107751095087,30.854649917684608
Cantonese,crib,nouns,furniture_rooms,0.13172129171143154,0.7455314444241812,produces,-8.492720417971125,0.29995716379885545,28.313110813603213
Cantonese,cup,nouns,household,0.6586015648637117,0.8866136607936731,produces,-5.893124071954042,0.30015670142995055,19.633491585825404
Cantonese,deer,nouns,animals,-0.8366542109197933,0.7455314444241812,produces,-9.492466622968921,0.2998610037169233,31.656222400729572
Cantonese,diaper,nouns,clothing,-0.12782324320604896,0.7052222397471835,produces,-5.9415657499732415,0.3000497934229051,19.801932479916434
Cantonese,dinosaur,nouns,animals,-0.14245230410434384,0.7556087455934305,produces,-8.511552030375482,0.2999744706453752,28.37425468928553
Cantonese,dog,nouns,animals,0.3632930121030013,0.7354541432549311,produces,-5.005587436667378,0.299888251235099,16.691508973931832
Cantonese,doll,nouns,toys,1.030862951074789,0.8866136607936731,produces,-7.094868638709447,0.3000233880552533,23.647718548538066
Cantonese,dolphin,nouns,animals,-1.6571923740779027,0.8463044561166753,produces,-9.280015764376287,0.30001221094956515,30.93212684578477
Cantonese,door,nouns,furniture_rooms,0.6610264916060649,0.6951449385779334,produces,-6.293136320360777,0.3001505949023218,20.96659619285031
Cantonese,dragon,nouns,animals,-0.7027713796949089,0.27189828946945693,produces,-9.775872948778186,0.29985045365806523,32.60249510886555
Cantonese,dragonfly,nouns,animals,-1.4894907136823192,0.7152995409164327,produces,-10.237132096497344,0.29996258298430695,34.12803021846534
